created_at,entry_id,field1,field2
2021-07-05 07:18:02 UTC,11194055,0.000000,0.000000
2021-07-05 07:18:18 UTC,11194056,0.000000,0.000000
2021-07-05 07:18:33 UTC,11194057,0.000000,1.000000
2021-07-05 07:18:48 UTC,11194058,0.000000,0.000000
2021-07-05 07:19:04 UTC,11194059,0.000000,0.000000
2021-07-05 07:19:20 UTC,11194060,0.000000,0.000000
2021-07-05 07:19:36 UTC,11194061,0.000000,0.000000
2021-07-05 07:19:51 UTC,11194062,4.000000,0.000000
2021-07-05 07:20:06 UTC,11194063,0.000000,0.000000
2021-07-05 07:20:22 UTC,11194064,0.000000,0.000000
2021-07-05 07:20:38 UTC,11194065,0.000000,0.000000
2021-07-05 07:20:54 UTC,11194066,1.000000,0.000000
2021-07-05 07:21:10 UTC,11194067,1.000000,1.000000
2021-07-05 07:21:25 UTC,11194068,2.000000,4.000000
2021-07-05 07:21:41 UTC,11194069,0.000000,1.000000
2021-07-05 07:21:56 UTC,11194070,0.000000,0.000000
2021-07-05 07:22:11 UTC,11194071,4.000000,0.000000
2021-07-05 07:22:27 UTC,11194072,0.000000,0.000000
2021-07-05 07:22:43 UTC,11194073,0.000000,0.000000
2021-07-05 07:22:59 UTC,11194074,0.000000,0.000000
2021-07-05 07:23:15 UTC,11194075,0.000000,0.000000
2021-07-05 07:23:31 UTC,11194076,0.000000,0.000000
2021-07-05 07:23:46 UTC,11194077,0.000000,0.000000
2021-07-05 07:24:02 UTC,11194078,0.000000,1.000000
2021-07-05 07:24:17 UTC,11194079,0.000000,0.000000
2021-07-05 07:24:33 UTC,11194080,0.000000,0.000000
2021-07-05 07:24:49 UTC,11194081,2.000000,0.000000
2021-07-05 07:25:05 UTC,11194082,0.000000,0.000000
2021-07-05 07:25:20 UTC,11194083,0.000000,1.000000
2021-07-05 07:25:35 UTC,11194084,0.000000,1.000000
2021-07-05 07:25:51 UTC,11194085,0.000000,0.000000
2021-07-05 07:26:07 UTC,11194086,0.000000,0.000000
2021-07-05 07:26:23 UTC,11194087,1.000000,0.000000
2021-07-05 07:26:38 UTC,11194088,0.000000,1.000000
2021-07-05 07:26:53 UTC,11194089,0.000000,0.000000
2021-07-05 07:27:09 UTC,11194090,0.000000,0.000000
2021-07-05 07:27:25 UTC,11194091,0.000000,0.000000
2021-07-05 07:27:40 UTC,11194092,1.000000,0.000000
2021-07-05 07:27:56 UTC,11194093,0.000000,0.000000
2021-07-05 07:28:11 UTC,11194094,0.000000,0.000000
2021-07-05 07:28:26 UTC,11194095,0.000000,0.000000
2021-07-05 07:28:42 UTC,11194096,0.000000,0.000000
2021-07-05 07:28:58 UTC,11194097,0.000000,0.000000
2021-07-05 07:29:13 UTC,11194098,1.000000,0.000000
2021-07-05 07:29:29 UTC,11194099,1.000000,0.000000
2021-07-05 07:29:45 UTC,11194100,1.000000,0.000000
2021-07-05 07:30:00 UTC,11194101,0.000000,0.000000
2021-07-05 07:30:15 UTC,11194102,0.000000,0.000000
2021-07-05 07:30:31 UTC,11194103,0.000000,0.000000
2021-07-05 07:30:47 UTC,11194104,0.000000,0.000000
2021-07-05 07:31:03 UTC,11194105,0.000000,2.000000
2021-07-05 07:31:18 UTC,11194106,0.000000,0.000000
2021-07-05 07:31:34 UTC,11194107,0.000000,0.000000
2021-07-05 07:31:50 UTC,11194108,0.000000,0.000000
2021-07-05 07:32:06 UTC,11194109,0.000000,0.000000
2021-07-05 07:32:22 UTC,11194110,0.000000,0.000000
2021-07-05 07:32:38 UTC,11194111,0.000000,0.000000
2021-07-05 07:32:53 UTC,11194112,0.000000,0.000000
2021-07-05 07:33:09 UTC,11194113,0.000000,0.000000
2021-07-05 07:33:24 UTC,11194114,0.000000,1.000000
2021-07-05 07:33:40 UTC,11194115,0.000000,0.000000
2021-07-05 07:33:55 UTC,11194116,0.000000,0.000000
2021-07-05 07:34:10 UTC,11194117,0.000000,0.000000
2021-07-05 07:34:26 UTC,11194118,0.000000,0.000000
2021-07-05 07:34:42 UTC,11194119,0.000000,0.000000
2021-07-05 07:34:57 UTC,11194120,2.000000,0.000000
